timestamp,frame,track_id,class,confidence,x1,y1,x2,y2
2026-04-03T14:53:30.725,1,1,cat,0.657,120,54,573,478
2026-04-03T14:53:31.192,2,1,cat,0.814,152,73,587,479
2026-04-03T14:53:31.634,1,1,cat,0.871,166,66,611,479
2026-04-03T14:53:32.071,2,1,cat,0.766,176,77,613,479
2026-04-03T14:53:32.493,1,1,cat,0.741,178,80,616,479
2026-04-03T14:53:32.930,2,1,cat,0.735,181,84,617,479
2026-04-03T14:53:33.349,1,1,cat,0.664,178,82,619,479
2026-04-03T14:53:33.757,2,1,cat,0.731,175,80,621,479
2026-04-03T14:53:34.271,1,1,cat,0.877,175,77,627,479
2026-04-03T14:53:34.777,1,1,cat,0.823,183,92,621,479
2026-04-03T14:53:35.126,1,1,cat,0.000,191,97,624,479
2026-04-03T14:53:35.590,2,1,person,0.516,210,146,590,479
2026-04-03T14:53:35.988,1,1,person,0.532,234,145,616,478
2026-04-03T14:53:36.364,2,1,person,0.490,103,131,501,476
2026-04-03T14:53:36.658,1,1,person,0.000,94,136,486,475
2026-04-03T14:53:36.961,2,1,person,0.000,86,142,471,475
2026-04-03T14:53:37.325,1,1,person,0.000,78,147,456,474
2026-04-03T14:53:37.699,2,1,person,0.000,70,153,441,474
2026-04-03T14:53:37.983,1,1,person,0.000,61,158,426,474
2026-04-03T14:53:38.275,2,1,person,0.000,53,164,411,473
2026-04-03T14:53:38.646,1,1,cat,0.669,167,139,562,478
2026-04-03T14:53:39.001,2,1,cat,0.625,160,123,573,478
2026-04-03T14:53:39.367,1,1,person,0.830,155,117,575,479
2026-04-03T14:53:39.723,2,1,cat,0.700,154,116,575,479
2026-04-03T14:53:40.083,1,1,cat,0.479,155,118,575,479
2026-04-03T14:53:40.515,2,1,cat,0.451,161,128,570,479
2026-04-03T14:53:40.921,1,1,person,0.473,166,137,565,479
2026-04-03T14:53:41.403,2,1,person,0.493,162,132,568,479
2026-04-03T14:53:41.403,2,3,cat,0.691,160,129,574,479
2026-04-03T14:53:41.786,1,1,cat,0.646,157,130,569,479
2026-04-03T14:53:41.786,1,3,cat,0.000,159,125,577,479
2026-04-03T14:53:42.265,2,1,cat,0.657,150,125,571,479
2026-04-03T14:53:42.265,2,3,cat,0.000,158,122,580,479
2026-04-03T14:53:42.633,1,1,cat,0.681,142,117,573,479
2026-04-03T14:53:42.634,1,3,cat,0.000,157,118,584,479
2026-04-03T14:53:42.999,2,1,cat,0.756,143,122,570,479
2026-04-03T14:53:42.999,2,3,cat,0.000,156,115,587,479
2026-04-03T14:53:43.367,1,1,cat,0.762,152,127,572,478
2026-04-03T14:53:43.367,1,3,cat,0.000,154,111,590,479
2026-04-03T14:53:43.715,2,1,cat,0.710,154,124,579,478
2026-04-03T14:53:43.715,2,3,cat,0.000,153,108,593,479
2026-04-03T14:53:44.088,1,1,cat,0.751,156,121,584,478
2026-04-03T14:53:44.088,1,3,cat,0.000,152,104,596,479
